index,age,gender,occupation,original_pred,counterfactual_pred,ground_truth,changed,fair_pred
146,35,Male,7,1,1,0,False,1
147,35,Male,11,1,1,1,False,1
148,25,Female,0,1,1,0,False,1
149,45,Male,0,1,1,1,False,1
150,18,Male,0,0,0,0,False,0
151,50,Male,19,1,1,1,False,1
152,25,Male,18,0,0,0,False,0
153,25,Male,17,1,1,1,False,1
154,1,Female,0,1,1,1,False,1
155,18,Female,4,1,1,1,False,1
156,25,Female,16,1,1,0,False,1
157,50,Male,0,1,1,0,False,1
158,1,Male,0,0,0,1,False,0
159,50,Male,16,1,1,0,False,1
160,35,Male,15,1,1,1,False,1
161,18,Male,1,0,1,0,True,1
162,25,Male,11,1,1,1,False,1
163,25,Female,4,1,1,1,False,1
164,25,Male,0,1,1,0,False,1
165,50,Male,12,1,1,0,False,1
166,35,Male,16,1,1,1,False,1
167,45,Male,13,1,1,0,False,1
168,25,Male,0,1,1,1,False,1
169,25,Male,4,1,1,1,False,1
170,18,Male,4,1,1,1,False,1
171,25,Female,3,1,1,1,False,1
172,25,Male,17,0,0,0,False,0
173,25,Male,17,1,1,1,False,1
174,25,Female,7,1,1,1,False,1
175,35,Female,1,1,1,1,False,1
176,18,Male,4,1,1,1,False,1
177,25,Male,4,1,1,0,False,1
178,35,Male,20,1,1,1,False,1
179,35,Male,18,1,1,0,False,1
180,18,Male,14,1,1,0,False,1
181,18,Female,2,1,0,0,True,0
182,25,Male,6,1,1,0,False,1
183,18,Male,4,0,0,0,False,0
184,35,Male,15,0,0,1,False,0
185,18,Female,2,1,1,0,False,1
186,25,Male,12,1,1,0,False,1
187,25,Male,4,1,1,0,False,1
188,25,Male,15,1,1,1,False,1
189,35,Female,3,1,1,1,False,1
190,25,Male,6,1,1,0,False,1
191,18,Male,4,1,1,1,False,1
192,35,Female,12,1,1,0,False,1
193,56,Male,14,1,1,0,False,1
194,35,Male,0,1,1,0,False,1
195,50,Male,7,1,1,1,False,1
196,25,Male,7,1,1,0,False,1
197,35,Male,5,1,1,0,False,1
198,50,Male,1,1,1,1,False,1
199,25,Male,20,1,1,1,False,1
200,25,Male,0,1,1,0,False,1
201,35,Male,7,1,1,1,False,1
202,50,Male,1,1,1,1,False,1
203,35,Female,4,1,1,1,False,1
204,50,Female,13,1,1,1,False,1
205,45,Male,20,1,1,1,False,1
206,18,Female,12,1,1,1,False,1
207,18,Male,0,1,1,1,False,1
208,25,Male,12,1,1,1,False,1
209,35,Female,3,1,1,1,False,1
210,18,Male,16,1,1,1,False,1
211,25,Male,0,0,0,1,False,0
212,18,Female,4,1,1,1,False,1
213,25,Male,16,1,1,1,False,1
214,25,Male,0,1,1,0,False,1
215,18,Female,1,1,1,1,False,1
216,18,Female,4,1,1,0,False,1
217,50,Male,16,1,1,1,False,1
218,35,Male,17,1,1,1,False,1
219,35,Female,1,0,0,0,False,0
220,18,Male,4,1,1,0,False,1
221,1,Female,1,0,0,1,False,0
222,25,Male,2,1,1,1,False,1
223,25,Male,1,0,0,1,False,0
224,25,Female,7,0,0,0,False,0
225,18,Male,19,0,0,1,False,0
226,50,Male,16,1,1,0,False,1
227,25,Male,4,1,1,1,False,1
228,25,Male,0,0,1,0,True,1
229,45,Male,15,1,1,0,False,1
230,25,Male,20,0,0,0,False,0
231,18,Female,12,1,1,1,False,1
232,56,Male,13,1,1,1,False,1
233,35,Female,0,1,1,1,False,1
234,25,Female,1,1,1,1,False,1
235,45,Male,16,1,1,1,False,1
236,25,Female,9,1,1,1,False,1
237,45,Female,17,1,1,1,False,1
238,25,Male,1,0,0,1,False,0
239,35,Male,20,1,1,1,False,1
240,18,Female,4,1,1,1,False,1
241,25,Male,5,0,1,0,True,1
242,25,Male,12,1,1,0,False,1
243,18,Male,0,1,1,1,False,1
244,56,Male,17,1,1,1,False,1
245,25,Male,1,0,0,0,False,0
246,50,Male,20,1,1,1,False,1
247,18,Male,17,1,1,0,False,1
248,25,Male,7,0,0,1,False,0
249,25,Male,20,0,1,0,True,1
250,35,Male,13,1,1,1,False,1
251,25,Male,7,1,1,1,False,1
252,25,Male,7,1,1,0,False,1
253,50,Female,6,1,1,1,False,1
254,18,Male,4,1,1,0,False,1
255,35,Male,17,1,1,1,False,1
256,45,Male,12,1,1,1,False,1
257,18,Female,4,1,1,0,False,1
258,25,Male,0,1,1,1,False,1
259,18,Male,20,0,0,0,False,0
260,25,Male,3,1,1,1,False,1
261,25,Female,6,1,1,0,False,1
262,25,Male,2,1,1,0,False,1
263,18,Female,2,1,1,0,False,1
264,50,Male,1,1,1,1,False,1
265,25,Male,17,1,1,0,False,1
266,25,Female,1,1,1,1,False,1
267,56,Female,1,1,1,1,False,1
268,25,Male,0,1,1,0,False,1
269,25,Male,6,1,1,0,False,1
270,35,Female,0,1,1,1,False,1
271,25,Male,4,1,1,1,False,1
272,18,Male,12,1,1,1,False,1
273,35,Male,0,0,0,1,False,0
274,1,Male,0,0,0,1,False,0
275,35,Male,0,1,1,1,False,1
276,35,Male,7,1,1,1,False,1
277,25,Male,7,0,1,0,True,1
278,18,Male,17,1,1,1,False,1
279,35,Female,17,1,1,1,False,1
280,25,Male,1,1,1,1,False,1
281,25,Female,0,1,1,1,False,1
282,35,Male,7,1,1,0,False,1
283,50,Male,16,1,1,1,False,1
284,25,Male,12,1,1,1,False,1
285,35,Male,5,1,1,1,False,1
286,56,Male,14,1,1,0,False,1
287,18,Male,4,0,0,0,False,0
288,25,Male,6,1,1,1,False,1
289,25,Female,4,1,1,0,False,1
290,45,Female,16,1,1,0,False,1
291,50,Male,2,1,1,1,False,1
292,50,Male,20,1,1,1,False,1
293,25,Male,4,1,1,1,False,1
294,25,Male,11,1,1,1,False,1
295,45,Female,1,1,1,0,False,1
296,35,Female,14,0,0,1,False,0
297,18,Female,2,1,1,1,False,1
298,25,Male,17,0,0,1,False,0
299,25,Male,0,1,1,0,False,1
300,35,Male,7,1,1,1,False,1
301,25,Male,15,1,1,0,False,1
302,45,Female,0,1,1,0,False,1
303,35,Male,16,1,1,1,False,1
304,25,Male,0,0,0,0,False,0
305,50,Female,9,1,1,1,False,1
306,25,Male,2,1,1,0,False,1
307,45,Male,11,1,1,1,False,1
308,25,Male,20,1,1,1,False,1
309,25,Male,20,0,0,1,False,0
310,25,Male,1,1,1,1,False,1
311,35,Male,2,1,1,0,False,1
312,25,Male,17,1,1,0,False,1
313,25,Male,0,1,1,1,False,1
314,25,Male,12,1,1,1,False,1
315,25,Male,17,1,1,0,False,1
316,56,Male,14,1,1,1,False,1
317,50,Male,17,1,1,1,False,1
318,18,Female,2,1,1,0,False,1
319,18,Male,4,1,1,0,False,1
320,25,Male,3,1,1,1,False,1
321,25,Male,11,0,0,0,False,0
322,25,Male,17,1,1,0,False,1
323,18,Female,4,1,0,0,True,0
324,50,Male,0,1,1,0,False,1
325,25,Male,7,1,1,0,False,1
326,25,Male,16,1,1,0,False,1
327,18,Female,4,1,1,1,False,1
328,18,Male,4,1,1,1,False,1
329,25,Male,4,1,1,1,False,1
330,18,Male,10,1,1,1,False,1
331,35,Male,17,1,1,1,False,1
332,18,Male,19,0,1,0,True,1
333,35,Male,12,0,0,0,False,0
334,35,Female,14,1,1,1,False,1
335,35,Male,5,0,0,0,False,0
336,25,Male,6,1,1,0,False,1
337,35,Male,4,1,1,1,False,1
338,18,Female,4,1,1,0,False,1
339,18,Male,4,1,1,0,False,1
340,35,Female,0,1,1,0,False,1
341,35,Male,5,1,1,0,False,1
342,25,Male,1,1,1,0,False,1
343,35,Male,2,1,1,1,False,1
344,35,Male,17,1,1,1,False,1
345,35,Female,20,1,1,1,False,1
346,25,Male,2,1,1,0,False,1
347,45,Female,1,1,1,1,False,1
348,25,Male,1,1,1,1,False,1
349,18,Male,17,1,1,1,False,1
350,25,Male,17,1,1,0,False,1
351,56,Female,6,1,1,1,False,1
352,45,Male,1,1,1,1,False,1
353,18,Male,1,1,1,1,False,1
354,25,Male,1,1,1,0,False,1
355,35,Female,20,1,1,1,False,1
356,35,Male,20,1,1,1,False,1
357,25,Male,11,1,1,1,False,1
358,25,Male,7,1,1,1,False,1
359,25,Male,0,0,0,0,False,0
360,56,Female,2,1,1,1,False,1
361,18,Male,7,1,1,0,False,1
362,50,Male,15,1,1,1,False,1
363,25,Female,15,1,1,1,False,1
364,25,Male,14,1,1,0,False,1
365,35,Male,16,1,1,1,False,1
366,25,Male,20,1,1,1,False,1
367,18,Male,4,0,1,1,True,1
368,35,Female,9,0,0,1,False,0
369,25,Male,7,1,1,0,False,1
370,18,Male,4,0,0,0,False,0
371,25,Male,11,1,1,1,False,1
372,25,Male,4,1,1,0,False,1
373,35,Female,0,1,1,1,False,1
374,56,Female,16,1,1,0,False,1
375,18,Male,0,1,1,1,False,1
376,50,Male,16,1,1,1,False,1
377,25,Male,3,1,1,0,False,1
378,50,Male,17,1,1,1,False,1
379,18,Male,4,1,1,0,False,1
380,25,Male,7,1,1,1,False,1
381,25,Male,2,1,1,0,False,1
382,25,Male,6,1,1,0,False,1
383,50,Male,14,1,1,1,False,1
384,25,Female,12,1,1,1,False,1
385,25,Male,14,1,1,1,False,1
386,18,Male,10,1,1,0,False,1
387,25,Male,12,1,1,0,False,1
388,1,Female,1,1,1,1,False,1
389,18,Male,16,1,1,0,False,1
390,25,Male,0,1,1,1,False,1
391,35,Female,20,1,1,0,False,1
392,35,Male,3,1,1,1,False,1
393,25,Female,7,1,1,1,False,1
394,1,Male,10,1,1,0,False,1
395,18,Male,0,0,0,1,False,0
396,25,Male,14,1,1,1,False,1
397,25,Male,0,1,1,0,False,1
398,25,Female,1,1,1,1,False,1
399,25,Female,0,0,0,1,False,0
400,56,Female,0,1,1,0,False,1
401,25,Male,4,0,0,0,False,0
402,50,Male,1,1,1,1,False,1
403,25,Female,0,1,1,1,False,1
404,18,Female,4,1,1,1,False,1
405,45,Male,7,0,0,1,False,0
406,35,Male,0,1,1,0,False,1
407,25,Male,6,1,1,1,False,1
408,35,Male,7,1,1,1,False,1
409,35,Male,14,1,1,1,False,1
410,35,Male,5,1,1,1,False,1
411,18,Male,20,1,1,1,False,1
412,35,Female,14,1,1,1,False,1
413,25,Male,0,1,1,0,False,1
414,35,Male,3,1,1,1,False,1
415,25,Female,20,0,0,0,False,0
416,25,Male,17,1,1,0,False,1
417,18,Female,4,1,1,0,False,1
418,25,Male,1,1,1,1,False,1
419,25,Female,0,1,1,1,False,1
420,25,Male,0,0,0,0,False,0
421,45,Male,1,1,1,0,False,1
422,45,Female,1,1,1,0,False,1
423,25,Male,0,0,0,0,False,0
424,25,Male,7,1,1,1,False,1
425,25,Male,7,1,1,1,False,1
426,25,Male,2,1,1,0,False,1
427,25,Male,12,1,1,1,False,1
428,18,Male,4,0,0,0,False,0
429,25,Male,17,1,1,1,False,1
430,25,Female,3,1,1,0,False,1
431,35,Male,20,0,0,0,False,0
432,18,Male,12,1,1,1,False,1
433,25,Male,0,1,1,1,False,1
434,25,Female,20,1,1,1,False,1
435,35,Female,20,0,0,0,False,0
436,25,Male,2,1,1,0,False,1
437,18,Female,4,1,1,1,False,1
438,45,Female,17,1,0,0,True,0
439,35,Female,16,1,1,1,False,1
440,25,Male,12,1,1,0,False,1
441,35,Male,7,0,0,0,False,0
442,25,Male,16,1,1,1,False,1
443,45,Female,1,1,1,1,False,1
444,25,Male,4,0,0,0,False,0
445,25,Male,5,1,1,1,False,1
446,35,Male,0,1,1,0,False,1
447,25,Male,7,1,1,1,False,1
448,35,Male,20,1,1,0,False,1
449,18,Male,20,1,1,1,False,1
450,35,Male,5,0,0,0,False,0
451,18,Female,6,1,1,1,False,1
452,18,Male,17,1,1,1,False,1
453,35,Male,12,1,1,0,False,1
454,18,Female,2,1,1,1,False,1
455,25,Male,4,1,1,0,False,1
456,35,Male,12,0,0,1,False,0
457,18,Male,4,1,1,1,False,1
458,50,Male,20,0,0,1,False,0
459,35,Male,16,1,1,1,False,1
460,35,Female,15,1,1,1,False,1
461,18,Female,1,1,1,1,False,1
462,45,Male,7,1,1,1,False,1
463,35,Male,0,1,1,1,False,1
464,25,Female,4,0,0,1,False,0
465,50,Male,11,1,1,0,False,1
466,25,Male,17,1,1,0,False,1
467,45,Male,17,1,1,1,False,1
468,18,Male,4,1,1,1,False,1
469,50,Male,6,1,1,0,False,1
470,18,Male,4,1,1,1,False,1
471,35,Male,7,1,1,0,False,1
472,25,Male,1,1,1,0,False,1
473,25,Male,6,1,1,0,False,1
474,25,Male,12,1,1,0,False,1
475,35,Male,7,1,1,1,False,1
476,50,Male,0,1,1,0,False,1
477,18,Male,4,1,1,0,False,1
478,35,Male,0,1,1,0,False,1
479,18,Female,4,1,1,1,False,1
480,35,Male,0,1,1,1,False,1
481,50,Male,17,1,1,0,False,1
482,25,Female,3,1,1,1,False,1
483,45,Male,1,1,1,0,False,1
484,35,Male,0,0,0,1,False,0
485,25,Male,12,1,1,1,False,1
486,50,Male,7,1,1,1,False,1
487,25,Female,7,0,0,0,False,0
488,25,Male,17,1,1,1,False,1
489,25,Female,1,1,1,1,False,1
490,25,Male,15,1,1,1,False,1
491,25,Male,19,0,0,0,False,0
492,25,Male,2,1,1,1,False,1
493,35,Male,14,1,1,1,False,1
494,25,Female,4,1,1,1,False,1
495,25,Female,4,1,1,1,False,1
496,25,Male,4,1,1,1,False,1
497,25,Male,17,0,1,1,True,1
498,45,Male,7,1,1,1,False,1
499,25,Male,8,1,1,0,False,1
500,35,Male,15,1,1,1,False,1
501,25,Male,18,0,0,1,False,0
502,25,Male,4,1,1,1,False,1
503,18,Female,20,0,0,0,False,0
504,35,Female,20,1,1,0,False,1
505,35,Male,5,0,0,0,False,0
506,25,Male,12,1,1,0,False,1
507,45,Male,2,1,1,1,False,1
508,25,Female,1,1,1,1,False,1
509,25,Male,2,1,1,1,False,1
510,56,Male,17,1,1,1,False,1
511,25,Male,7,1,1,1,False,1
512,25,Male,0,1,1,0,False,1
513,18,Male,1,1,1,0,False,1
514,18,Female,4,1,1,1,False,1
515,56,Male,16,1,1,1,False,1
516,45,Female,3,1,1,1,False,1
517,56,Female,0,1,1,1,False,1
518,45,Male,5,1,1,0,False,1
519,25,Male,18,1,1,0,False,1
520,18,Male,4,1,1,0,False,1
521,18,Male,0,1,1,1,False,1
522,35,Female,9,1,1,1,False,1
523,18,Male,4,1,1,1,False,1
524,35,Male,17,0,0,1,False,0
525,35,Female,16,0,0,1,False,0
526,35,Male,16,1,1,0,False,1
527,18,Male,16,0,0,1,False,0
528,25,Female,3,1,1,0,False,1
529,35,Male,12,1,1,1,False,1
530,25,Male,16,1,1,0,False,1
531,18,Male,4,1,1,1,False,1
532,35,Male,3,1,1,0,False,1
533,18,Male,4,1,1,1,False,1
534,56,Male,11,1,1,0,False,1
535,25,Male,0,1,1,0,False,1
536,35,Male,18,1,1,1,False,1
537,25,Male,0,1,1,1,False,1
538,25,Male,5,1,1,1,False,1
539,25,Male,20,1,1,0,False,1
540,56,Male,11,1,1,1,False,1
541,18,Male,12,1,1,1,False,1
542,25,Female,17,1,1,1,False,1
543,25,Female,7,1,1,1,False,1
544,18,Female,2,1,1,1,False,1
545,45,Female,7,1,1,1,False,1
546,25,Male,3,1,1,1,False,1
547,25,Female,3,1,1,1,False,1
548,18,Female,0,1,1,1,False,1
549,25,Male,1,1,1,1,False,1
550,45,Female,3,1,1,1,False,1
551,35,Male,14,1,1,1,False,1
552,25,Male,4,1,1,0,False,1
553,35,Male,20,1,1,1,False,1
554,25,Male,20,0,0,0,False,0
555,25,Male,4,1,1,0,False,1
556,45,Female,7,1,1,1,False,1
557,25,Male,1,1,1,1,False,1
558,35,Male,2,1,1,1,False,1
559,25,Male,17,1,1,0,False,1
560,45,Male,1,1,1,1,False,1
561,18,Male,4,1,1,1,False,1
562,25,Male,7,1,1,0,False,1
563,56,Male,15,1,1,0,False,1
564,25,Female,12,0,0,0,False,0
565,18,Female,4,1,1,1,False,1
566,25,Male,17,1,1,0,False,1
567,35,Male,1,1,1,0,False,1
568,25,Female,12,1,1,1,False,1
569,25,Male,5,1,1,1,False,1
570,25,Male,11,1,1,0,False,1
571,25,Female,1,1,1,0,False,1
572,25,Male,4,1,1,0,False,1
573,18,Male,4,1,1,0,False,1
574,25,Male,17,1,1,1,False,1
575,45,Female,16,1,1,0,False,1
576,25,Male,17,1,1,1,False,1
577,25,Male,6,1,1,0,False,1
578,25,Male,17,0,1,0,True,1
579,25,Male,18,1,1,1,False,1
580,25,Female,7,1,1,0,False,1
581,18,Male,12,1,1,1,False,1
582,18,Female,4,1,1,1,False,1
583,18,Male,4,1,1,1,False,1
584,25,Male,3,1,1,1,False,1
585,25,Male,12,0,0,1,False,0
586,25,Male,7,1,1,1,False,1
587,35,Male,14,1,1,0,False,1
588,35,Male,7,0,0,1,False,0
589,25,Male,12,1,1,1,False,1
590,18,Male,15,0,1,0,True,1
591,25,Male,7,0,0,0,False,0
592,25,Male,7,1,1,0,False,1
593,25,Male,0,0,0,0,False,0
594,35,Female,12,1,1,0,False,1
595,35,Male,17,1,1,0,False,1
596,25,Male,17,0,1,1,True,1
597,35,Female,3,1,1,1,False,1
598,35,Male,0,1,1,0,False,1
599,18,Male,7,0,0,1,False,0
600,18,Female,4,1,1,0,False,1
601,35,Male,0,1,1,1,False,1
602,25,Male,14,1,1,1,False,1
603,45,Female,16,0,0,1,False,0
604,25,Male,16,1,1,0,False,1
605,18,Female,7,1,0,1,True,0
606,45,Male,11,1,1,1,False,1
607,25,Male,2,1,1,1,False,1
608,56,Male,0,0,0,0,False,0
609,35,Male,1,1,1,0,False,1
610,25,Male,14,1,1,1,False,1
611,45,Male,3,0,1,0,True,1
612,35,Female,16,1,1,1,False,1
613,35,Male,0,1,1,0,False,1
614,25,Female,7,1,1,1,False,1
615,25,Male,12,1,1,1,False,1
616,25,Male,15,1,1,1,False,1
617,25,Male,8,0,0,0,False,0
618,50,Male,7,1,1,0,False,1
619,25,Male,0,1,1,1,False,1
620,50,Male,17,1,1,1,False,1
621,18,Male,4,1,1,1,False,1
622,35,Female,3,1,1,1,False,1
623,25,Female,7,1,1,0,False,1
624,50,Male,13,1,1,1,False,1
625,25,Female,4,1,1,1,False,1
626,35,Male,0,1,1,0,False,1
627,25,Male,0,1,1,0,False,1
628,25,Male,7,1,1,0,False,1
629,45,Male,0,1,1,0,False,1
630,18,Male,4,0,1,0,True,1
631,18,Male,4,1,1,1,False,1
632,25,Female,1,1,1,0,False,1
633,25,Male,1,0,0,1,False,0
634,56,Female,1,1,1,1,False,1
635,50,Male,7,1,1,1,False,1
636,56,Male,8,1,1,0,False,1
637,25,Male,17,1,1,1,False,1
638,35,Male,7,1,1,1,False,1
639,25,Male,17,1,1,0,False,1
640,56,Female,16,1,1,1,False,1
641,25,Male,7,1,1,0,False,1
642,25,Male,3,1,1,1,False,1
643,25,Male,12,1,1,0,False,1
644,18,Male,3,1,1,0,False,1
645,18,Female,4,1,1,1,False,1
646,25,Male,14,1,1,0,False,1
647,35,Male,5,0,0,1,False,0
648,25,Female,12,1,1,0,False,1
649,25,Male,3,1,1,0,False,1
650,25,Female,9,1,1,1,False,1
651,1,Male,10,1,1,0,False,1
652,35,Male,7,1,1,0,False,1
653,25,Male,2,1,1,0,False,1
654,35,Male,15,1,1,1,False,1
655,45,Male,0,1,1,1,False,1
656,50,Female,1,1,1,0,False,1
657,25,Male,7,1,1,1,False,1
658,50,Male,16,1,1,1,False,1
659,25,Male,20,1,1,0,False,1
660,25,Female,3,1,1,1,False,1
661,25,Female,2,1,0,0,True,0
662,35,Male,16,0,0,1,False,0
663,35,Female,4,1,1,0,False,1
664,18,Male,0,1,1,1,False,1
665,25,Male,1,1,1,1,False,1
666,25,Male,5,1,1,1,False,1
667,25,Female,7,1,1,1,False,1
668,35,Male,18,0,1,0,True,1
669,50,Female,16,1,1,1,False,1
670,35,Male,15,1,1,1,False,1
671,50,Female,2,1,1,1,False,1
672,50,Male,20,1,1,1,False,1
673,25,Female,0,1,1,1,False,1
674,25,Female,4,1,1,1,False,1
675,35,Male,0,1,1,0,False,1
676,25,Female,1,1,1,1,False,1
677,25,Male,16,1,1,1,False,1
678,25,Male,3,1,1,1,False,1
679,1,Male,10,1,1,1,False,1
680,25,Male,0,1,1,1,False,1
681,25,Male,7,1,1,1,False,1
682,18,Male,3,0,0,0,False,0
683,25,Male,5,1,1,1,False,1
684,25,Male,0,1,1,0,False,1
685,25,Male,17,0,0,0,False,0
686,45,Male,7,1,1,0,False,1
687,35,Male,0,1,1,1,False,1
688,25,Male,12,1,1,1,False,1
689,25,Male,11,1,1,1,False,1
690,25,Male,14,1,1,0,False,1
691,25,Male,2,1,1,0,False,1
692,25,Male,0,1,1,0,False,1
693,35,Female,11,1,1,0,False,1
694,18,Male,0,0,1,1,True,1
695,25,Male,12,1,1,0,False,1
696,50,Male,0,1,1,0,False,1
697,1,Male,10,1,1,1,False,1
698,25,Male,12,1,1,1,False,1
699,50,Male,12,1,1,1,False,1
700,25,Male,15,1,1,1,False,1
701,18,Female,14,1,1,0,False,1
702,25,Male,19,1,1,1,False,1
703,25,Male,11,1,1,1,False,1
704,25,Female,1,1,1,1,False,1
705,25,Male,14,1,1,1,False,1
706,18,Male,4,1,1,1,False,1
707,18,Male,4,1,1,1,False,1
708,25,Male,14,1,1,1,False,1
709,50,Female,7,1,1,1,False,1
710,25,Male,6,1,1,1,False,1
711,45,Male,16,1,1,1,False,1
712,45,Female,2,1,1,1,False,1
713,18,Female,4,1,1,0,False,1
714,25,Male,0,1,1,0,False,1
715,50,Male,20,1,1,0,False,1
716,25,Female,1,1,1,0,False,1
717,50,Male,0,1,1,1,False,1
718,25,Male,7,1,1,0,False,1
719,25,Male,2,1,1,0,False,1
720,25,Male,7,1,1,0,False,1
721,25,Male,11,1,1,0,False,1
722,18,Male,12,1,1,0,False,1
723,25,Male,5,1,1,1,False,1
724,25,Male,4,0,0,1,False,0
725,50,Male,0,1,1,0,False,1
726,35,Male,2,1,1,1,False,1
727,18,Female,14,1,1,1,False,1
728,18,Male,14,1,1,1,False,1
729,25,Male,14,1,1,1,False,1
730,50,Female,6,1,1,1,False,1
731,18,Female,4,1,1,0,False,1
